127.0.0.1 - - [28/Nov/2019:19:35:27 -0200] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:32 -0200] "GET /coldigoGeladeiras/ HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:32 -0200] "GET /coldigoGeladeiras/css/style.css HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:32 -0200] "GET /coldigoGeladeiras/js/site.js HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:32 -0200] "GET /coldigoGeladeiras/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:32 -0200] "GET /coldigoGeladeiras/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:33 -0200] "GET /coldigoGeladeiras/pages/site/general/cabecalho.html HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:33 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:33 -0200] "GET /coldigoGeladeiras/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:33 -0200] "GET /coldigoGeladeiras/imgs/logo.png HTTP/1.1" 200 91448
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:57 -0200] "GET /coldigoGeladeiras/ HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:57 -0200] "GET /coldigoGeladeiras/css/style.css HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:57 -0200] "GET /coldigoGeladeiras/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:57 -0200] "GET /coldigoGeladeiras/js/site.js HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:57 -0200] "GET /coldigoGeladeiras/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:58 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:58 -0200] "GET /coldigoGeladeiras/pages/site/general/cabecalho.html HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:58 -0200] "GET /coldigoGeladeiras/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:58 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:35:58 -0200] "GET /coldigoGeladeiras/imgs/logo.png HTTP/1.1" 200 91448
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:11 -0200] "GET /coldigoGeladeiras/index.html HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:12 -0200] "GET /coldigoGeladeiras/pages/site/produtos.html HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:13 -0200] "GET /coldigoGeladeiras/pages/site/faleconosco.html HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:24 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:24 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:24 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:24 -0200] "GET /coldigoGeladeiras/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:24 -0200] "GET /coldigoGeladeiras/pages/admin/general/header.html HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:30 -0200] "GET /coldigoGeladeiras/pages/admin/product/ HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [28/Nov/2019:19:36:30 -0200] "GET /css/admin.css HTTP/1.1" 404 1049
