0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:32:05 -0200] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:07 -0200] "GET /coldigoGeladeiras/ HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:07 -0200] "GET /coldigoGeladeiras/css/style.css HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:07 -0200] "GET /coldigoGeladeiras/js/site.js HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:07 -0200] "GET /coldigoGeladeiras/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:07 -0200] "GET /coldigoGeladeiras/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:08 -0200] "GET /coldigoGeladeiras/pages/site/general/cabecalho.html HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:08 -0200] "GET /coldigoGeladeiras/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:08 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:08 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:08 -0200] "GET /coldigoGeladeiras/imgs/logo.png HTTP/1.1" 200 91448
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:10 -0200] "GET /coldigoGeladeiras/pages/site/index.html HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:17 -0200] "GET /coldigoGeladeiras/pages/site/produtos.html HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:17 -0200] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:17 -0200] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:20 -0200] "GET /coldigoGeladeiras/pages/site/produtos.html HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:20 -0200] "GET /coldigoGeladeiras/css/style.css HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:20 -0200] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:21 -0200] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:37:21 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:39:00 -0200] "GET /coldigoGeladeiras/pages/site/produtos.html HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:39:00 -0200] "GET /coldigoGeladeiras/css/style.css HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:39:00 -0200] "GET /coldigoGeladeiras/js/site.js HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:39:00 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:39:00 -0200] "GET /coldigoGeladeiras/pages/site/general/cabecalho.html HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:39:00 -0200] "GET /coldigoGeladeiras/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:39:00 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:39:04 -0200] "GET /coldigoGeladeiras/pages/site/faleconosco.html HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:39:06 -0200] "GET /coldigoGeladeiras/pages/site/produtos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:39:07 -0200] "GET /coldigoGeladeiras/pages/site/index.html HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:40:51 -0200] "GET /coldigoGeladeiras/pages/site/index.html HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:16 -0200] "GET /coldigoGeladeiras/pages/site/produtos.html HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:16 -0200] "GET /coldigoGeladeiras/css/style.css HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:16 -0200] "GET /coldigoGeladeiras/js/site.js HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:16 -0200] "GET /coldigoGeladeiras/pages/site/general/cabecalho.html HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:16 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:16 -0200] "GET /coldigoGeladeiras/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:16 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:17 -0200] "GET /coldigoGeladeiras/index.html HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:17 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:19 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:20 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:20 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:21 -0200] "GET /coldigoGeladeiras/pages/site/faleconosco.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:19:41:21 -0200] "GET /coldigoGeladeiras/pages/site/general/menu.html HTTP/1.1" 304 -
